L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
-1.990301828686170948e-01,-1.974634736200262530e-01,1.488626314850538491e-04,1.993738289940968911e-01,1.989723798999118165e-01,-6.801222422326662354e-04
-1.972901061170130310e-01,-1.929517612942793225e-01,4.213712490029237773e-04,1.982446474723872365e-01,1.971416248386864967e-01,-1.983688281613314210e-03
-1.949572550643289826e-01,-1.869422446167496588e-01,8.028342046315257996e-04,1.967150950772593998e-01,1.946865264878218649e-01,-3.855036342812759136e-03
-1.921859687751266699e-01,-1.798381513057795700e-01,1.286271825584665374e-03,1.948712774399712633e-01,1.917483675177238944e-01,-6.239736578164118211e-03
-1.891077479452797361e-01,-1.719772378244275868e-01,1.870109258225174324e-03,1.927857373762641158e-01,1.884381782743530798e-01,-9.084847731465102091e-03
-1.858325174734977714e-01,-1.636396270367106720e-01,2.556334145323046515e-03,1.905197101604271526e-01,1.848429574994908953e-01,-1.233917055717884473e-02
-1.824504882867522548e-01,-1.550549516809420492e-01,3.349061346389513825e-03,1.881248739580142493e-01,1.810308645741572908e-01,-1.595347178706770994e-02
-1.790343368290779336e-01,-1.464088817225036865e-01,4.253441625151938195e-03,1.856447420610110310e-01,1.770554595323218794e-01,-1.988066591971478225e-02
-1.756414907220570643e-01,-1.378490755175760807e-01,5.274853079579647913e-03,1.831157976901715279e-01,1.729591020065481544e-01,-2.407595113562771214e-02
-1.723163711569059009e-01,-1.294905777974378613e-01,6.418319865461102544e-03,1.805684400527094169e-01,1.687756324060541990e-01,-2.849690114296078020e-02
-1.690924942491789651e-01,-1.214206826962420660e-01,7.688110298491499482e-03,1.780277882948622936e-01,1.645324565512062964e-01,-3.310351770499006530e-02
-1.659943742942837364e-01,-1.137032814691658067e-01,9.087474261176974044e-03,1.755143750768191346e-01,1.602521448901463030e-01,-3.785824981275305590e-02
-1.630392022637199290e-01,-1.063827185126763053e-01,1.061848722174429244e-02,1.730447515645135714e-01,1.559536435381182473e-01,-4.272598559434377663e-02
-1.602382943499841561e-01,-9.948718368536274559e-02,1.228197466485696047e-02,1.706320191045487822e-01,1.516531794362966090e-01,-4.767402257391478715e-02
-1.575983195613425425e-01,-9.303167263843357959e-02,1.407749622940672289e-02,1.682862986013178297e-01,1.473649275530150571e-01,-5.267202113965837457e-02
-1.551223239422829248e-01,-8.702054943630753436e-02,1.600337336733205149e-02,1.660151458649871403e-01,1.431014951105122612e-01,-5.769194524564999482e-02
-1.528105734375208857e-01,-8.144974708633245797e-02,1.805674797647485730e-02,1.638239194106068108e-01,1.388742666747803944e-01,-6.270799358441651872e-02
-1.506612389679060915e-01,-7.630864180489380089e-02,2.023366235424924747e-02,1.617161060062513034e-01,1.346936446433655288e-01,-6.769652378150563254e-02
-1.486709469264377026e-01,-7.158163611524490100e-02,2.252915309359154045e-02,1.596936084606412620e-01,1.305692120791009658e-01,-7.263597159969499562e-02
-1.468352167723417090e-01,-6.724948441554683132e-02,2.493735331963627469e-02,1.577569995619004239e-01,1.265098387556811144e-01,-7.750676669299269572e-02
-1.451488052363757164e-01,-6.329039268013886277e-02,2.745159904645980836e-02,1.559057456388530660e-01,1.225237464662761733e-01,-8.229124611062306471e-02
-1.436059742219741031e-01,-5.968092164411317041e-02,3.006453650126468535e-02,1.541384028606392065e-01,1.186185458685896504e-01,-8.697356649398291228e-02
-1.422006970385547020e-01,-5.639672032110771421e-02,3.276822808695231681e-02,1.524527890881101078e-01,1.148012541928451202e-01,-9.153961571844572431e-02
-1.409268152855945588e-01,-5.341311413605986241e-02,3.555425528787298922e-02,1.508461338238592797e-01,1.110783008481047857e-01,-9.597692459147239008e-02
-1.397781566024783040e-01,-5.070556940921527866e-02,3.841381730994325450e-02,1.493152085673210561e-01,1.074555261835971609e-01,-1.002745791120349950e-01
-1.387486216473708400e-01,-4.825005347109460885e-02,4.133782461765322935e-02,1.478564396621012134e-01,1.039381772808826293e-01,-1.044231337161717621e-01
-1.378322470762075591e-01,-4.602330736612316592e-02,4.431698681574830490e-02,1.464660055219802470e-01,1.005309035798661876e-01,-1.084145258686128876e-01
-1.370232499495400158e-01,-4.400304594431846822e-02,4.734189453918994511e-02,1.451399199384045269e-01,9.723775430753726912e-02,-1.122419923085331006e-01
-1.363160578791741684e-01,-4.216809816206517486e-02,5.040309517989342847e-02,1.438741030048148184e-01,9.406217902959533583e-02,-1.158999872114367252e-01
-1.357053283120804310e-01,-4.049849862087041841e-02,5.349116240299642971e-02,1.426644410410322084e-01,9.100703214129396423e-02,-1.193841024902313475e-01
-1.351859531621458499e-01,-3.897588438030912678e-02,5.659693488384103660e-02,1.415067793922732964e-01,8.807501471894067790e-02,-1.226911766536315229e-01
-1.347530687012115092e-01,-3.758321338351805485e-02,5.971144482947295801e-02,1.403970168204871638e-01,8.526828418579897317e-02,-1.258190777862460419e-01
-1.344020572214511544e-01,-3.630470177841920582e-02,6.282594212781991705e-02,1.393311492282141018e-01,8.258839930220158998e-02,-1.287666016489439902e-01
-1.341267972418039023e-01,-3.512691985428138819e-02,6.593188296304219875e-02,1.383052622493016470e-01,8.003595381123154717e-02,-1.315334251014718681e-01
-1.339231826756741017e-01,-3.403652209274146689e-02,6.902108734933447287e-02,1.373156186510523791e-01,7.761137179495324057e-02,-1.341199878924049238e-01
-1.337873345725297258e-01,-3.302131196823610004e-02,7.208570801574809561e-02,1.363586433953331845e-01,7.531456370002252709e-02,-1.365274496306726204e-01
-1.337155936441602744e-01,-3.207018646480456342e-02,7.511825821247285206e-02,1.354309351175113640e-01,7.314496017374209902e-02,-1.387576264229906653e-01
-1.337045119224665735e-01,-3.117307605487316946e-02,7.811163491938721837e-02,1.345292736599461303e-01,7.110154795375560333e-02,-1.408129304090989797e-01
-1.337508438634099073e-01,-3.032088213318191033e-02,8.105913773914558140e-02,1.336506242213498785e-01,6.918290726971815241e-02,-1.426963121864297523e-01
-1.338515371354828953e-01,-2.950541347773141115e-02,8.395448375759030635e-02,1.327921386285743632e-01,6.738725021851828256e-02,-1.444112060993555657e-01
-1.340037258930104891e-01,-2.871921080091066614e-02,8.679176252136575065e-02,1.319511677089568458e-01,6.571233026093557805e-02,-1.459614201802842404e-01
-1.342047203842582914e-01,-2.795552601550750638e-02,8.956545614725286431e-02,1.311252529749181162e-01,6.415553489508332707e-02,-1.473511016499527426e-01
-1.344519956130593163e-01,-2.720834856891487380e-02,9.227048195941835174e-02,1.303121116879298880e-01,6.271402574587479906e-02,-1.485847310640976138e-01
