L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
1.993751347466749813e-01,1.989705695648657235e-01,-6.797148331177461141e-04,-1.990302214417569437e-01,-1.974635630922035590e-01,1.486181719721510301e-04
1.982482928227747576e-01,1.971366418898051476e-01,-1.982523201081783960e-03,-1.972901951688796895e-01,-1.929520351448329729e-01,4.206746967773865526e-04
1.967218727894928521e-01,1.946773849640869303e-01,-3.852816143069289281e-03,-1.949573880532414205e-01,-1.869427900810798626e-01,8.015099767240552045e-04
1.948817705464873928e-01,1.917343937649107488e-01,-6.236212309608889399e-03,-1.921861268898125974e-01,-1.798390409043889027e-01,1.284172220444254088e-03
1.928003492718307621e-01,1.884189551134758389e-01,-9.079814872798623593e-03,-1.891079048335896629e-01,-1.719785265578774869e-01,1.867110990027271702e-03
1.905386924664358994e-01,1.848182762980863370e-01,-1.233246529446630282e-02,-1.858326428807665076e-01,-1.636413524074360748e-01,2.552335568470497432e-03
1.881483517028743613e-01,1.810006845706225997e-01,-1.594496767281831928e-02,-1.824505508196324344e-01,-1.550571354980810335e-01,3.343980296402036898e-03
1.856727360493541368e-01,1.770198735978316118e-01,-1.987027089905352498e-02,-1.790343059835444173e-01,-1.464115329395466458e-01,4.247213782159022996e-03
1.831482441306154230e-01,1.729183079859589189e-01,-2.406360490150552880e-02,-1.756413382787550825e-01,-1.378521935724315584e-01,5.267430751169628264e-03
1.806052076240217685e-01,1.687299092084723340e-01,-2.848257277207628946e-02,-1.723160720346260943e-01,-1.294941560841158246e-01,6.409671095034025386e-03
1.780686928832017901e-01,1.644821442312542903e-01,-3.308720352070300408e-02,-1.690920269052741121e-01,-1.214247119121456275e-01,7.678218207356706133e-03
1.755591924330945075e-01,1.601976280521217599e-01,-3.783997141942167103e-02,-1.659937207613466359e-01,-1.137077526655940474e-01,9.076336546897245325e-03
1.730932281252187122e-01,1.558953374934990421e-01,-4.270578803306099291e-02,-1.630383479105835254e-01,-1.063876257383169488e-01,1.060611574516141797e-02
1.706838812016573115e-01,1.515915186411277149e-01,-4.765197255944248617e-02,-1.602372274504011151e-01,-9.949252616007320249e-02,1.226839507050778676e-02
1.683412602635740440e-01,1.473003559396647566e-01,-5.264820534303975980e-02,-1.575970307455087926e-01,-9.303745643150000688e-02,1.406274755774810856e-02
1.660729153883734321e-01,1.430344580050900705e-01,-5.766646859989586066e-02,-1.551208055955285992e-01,-8.702678865199264813e-02,1.598750762675409803e-02
1.638842048523843631e-01,1.388052040556522204e-01,-6.268097759820162596e-02,-1.528088190981786443e-01,-8.145646458133874723e-02,1.803982965488992729e-02
1.617786197360205902e-01,1.346229855479299520e-01,-6.766810485201076031e-02,-1.506592427637517828e-01,-7.631586947819649080e-02,2.021576785744410784e-02
1.597580708838122476e-01,1.304973700063682407e-01,-7.260629932323524327e-02,-1.486687030771347562e-01,-7.158941482138765633e-02,2.251037010527182428e-02
1.578231421158117487e-01,1.264372079427013018e-01,-7.747600217769873288e-02,-1.468327191746837679e-01,-6.725786355861060328e-02,2.491778008383075185e-02
1.559733131492656300e-01,1.224506989388306488e-01,-8.225956029752677645e-02,-1.451460471401972152e-01,-6.329942954791298315e-02,2.743134357702981668e-02
1.542071553360605807e-01,1.185454291825644990e-01,-8.694113849651954884e-02,-1.436029479975237666e-01,-5.969068054128051637e-02,3.004371572663417853e-02
1.525225030209735877e-01,1.147283897938202735e-01,-9.150663119077775964e-02,-1.421973940308604856e-01,-5.640727155721156350e-02,3.274696694029236022e-02
1.509166030605952891e-01,1.110059829843401819e-01,-9.594357413765276787e-02,-1.409232257477210370e-01,-5.342453291932471038e-02,3.553268575407886321e-02
1.493862448034879165e-01,1.073840213127917886e-01,-1.002410567466691937e-01,-1.397742696973512111e-01,-5.071793469154807499e-02,3.839207744140370193e-02
1.479278726137011613e-01,1.038677239147413334e-01,-1.043896353873398908e-01,-1.387444255067571408e-01,-4.826344678329985011e-02,4.131605753102474826e-02
1.465376828196652270e-01,1.004617125132399452e-01,-1.083812480525088578e-01,-1.378277289052309840e-01,-4.603781167591528695e-02,4.429533968153375606e-02
1.452117067873068268e-01,9.717000918117553454e-02,-1.122091306837801894e-01,-1.370183961655442872e-01,-4.401874456342433350e-02,4.732051757517780760e-02
1.439458816490954418e-01,9.399603717769829114e-02,-1.158677354202284765e-01,-1.363108542746133411e-01,-4.218507372279318296e-02,5.038214065888194787e-02
1.427361100688459283e-01,9.094262567724653579e-02,-1.193526509912412603e-01,-1.356997602322487506e-01,-4.051683213712445331e-02,5.347078368407315319e-02
1.415782536981108342e-01,8.801244350083306522e-02,-1.226607078849970695e-01,-1.351800063018284148e-01,-3.899564680925456800e-02,5.657728186976408030e-02
1.404682255541195024e-01,8.520762572360283948e-02,-1.257897682145172336e-01,-1.347467292423012164e-01,-3.760447121965942996e-02,5.969266579933478478e-02
1.394020347946360872e-01,8.252971034745566759e-02,-1.287386209276847604e-01,-1.343953119837671684e-01,-3.632751654218436405e-02,6.280818289022110923e-02
